ocreval Word Accuracy Report Version 7.0
----------------------------------------
     904   Words
      92   Misrecognized
   89.82%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       0        0   ------    Total

Non-stopwords
   Count   Missed   %Right   Length
       1        0   100.00   বীণ
       1        0   100.00   বীর
       1        0   100.00   বুক
       1        0   100.00   বুজে
       1        0   100.00   বুঝতেন
       1        0   100.00   বুঝলে
       1        1     0.00   বুঝেতে
       1        0   100.00   বেতগাছ
       1        1     0.00   বেতডাঁটাগুলো
       1        0   100.00   বেতবনের
       1        0   100.00   বেতে
       1        0   100.00   বেধে
       1        0   100.00   বেয়ে
       1        0   100.00   বেলায়
       1        0   100.00   বেশ
       1        0   100.00   বেষ্টন
       1        0   100.00   বৈকালের
       1        0   100.00   বোনা
       1        0   100.00   বৌ
       1        0   100.00   ব্যগ্রভাবে
       1        0   100.00   ব্যাপার
       1        0   100.00   ব্যাপারটা
       1        1     0.00   বৎসর
       1        0   100.00   ভদ্রলোক
       1        0   100.00   ভাই
       1        0   100.00   ভাঙা
       1        1     0.00   ভাঙ্গা
       1        0   100.00   ভাব
       2        0   100.00   ভাবত
       1        0   100.00   ভাবলে
       1        0   100.00   ভাবলেন
       1        1     0.00   ভারি
       2        0   100.00   ভালো
       1        0   100.00   ভালোই
       1        0   100.00   ভাষার
       1        0   100.00   ভিক্ষু
       1        0   100.00   ভিড়ের
       1        0   100.00   ভীরু
       1        0   100.00   ভুঁইয়া
       1        1     0.00   ভুলুয়ার
       1        0   100.00   ভুলো
       1        1     0.00   ভূ
       2        1    50.00   ভেবে
       1        0   100.00   ভেসে
       1        0   100.00   মগ
       2        1    50.00   মত
       1        0   100.00   মতন
       1        0   100.00   মতো
       5        0   100.00   মধ্যে
       6        0   100.00   মনে
       1        0   100.00   মন্দির
       3        0   100.00   মন্দিরে
       1        0   100.00   মন্দিরের
       1        1     0.00   ময়েপুরুষ
       1        0   100.00   মল্লারে
       1        0   100.00   মশায়
       1        0   100.00   মাঠ
       2        0   100.00   মাঠের
       1        0   100.00   মাস
       1        0   100.00   মাসের
       1        0   100.00   মিথ্যা
       1        0   100.00   মিথ্যে
       1        0   100.00   মুক্ত
       1        0   100.00   মুখ
       2        0   100.00   মুখে
       2        0   100.00   মৃত্যু
       1        0   100.00   মৃত্যুমুখে
       2        0   100.00   মেঘ
       1        0   100.00   মেরে
       1        0   100.00   মোহের
       1        0   100.00   যখন
       1        0   100.00   যত
       1        0   100.00   যদি
       1        0   100.00   যবাগূ
       1        0   100.00   যা
       1        0   100.00   যাই
       1        0   100.00   যাও
       1        0   100.00   যাক
       1        0   100.00   যাচ্ছে
       1        1     0.00   যান
       1        0   100.00   যাবার
       1        0   100.00   যায়
       3        0   100.00   যে
       1        1     0.00   যোগাচাৰ্য‍্য
       1        0   100.00   র
       1        0   100.00   রইত
       1        0   100.00   রইল
       1        0   100.00   রকমে
       1        0   100.00   রাখত
       1        0   100.00   রাজধানীতে
       1        0   100.00   রাজা
       1        0   100.00   রাত
       4        0   100.00   রাতে
       5        0   100.00   রায়
       3        0   100.00   রায়ের
       1        1     0.00   রুদ্ধ
       1        0   100.00   রোজ
       1        0   100.00   রোজই
       1        0   100.00   রোজারিওর
       2        0   100.00   লক্ষ্য
       1        0   100.00   লঞ্চে
       1        0   100.00   লোকটি
       1        0   100.00   লোকটিই
       1        0   100.00   শব্দ
       1        0   100.00   শব্দও
       1        1     0.00   শালবনের
       1        0   100.00   শিক্ষা
       1        1     0.00   শিগগির
       1        0   100.00   শিষ্য
       1        0   100.00   শুনলেন
       1        0   100.00   শুনুন
       1        0   100.00   শুনেছিলাম
       1        0   100.00   শেষ
       1        0   100.00   শোয়া
       1        0   100.00   শ্বাস
       1        0   100.00   শ্যামলতায়
       1        1     0.00   সংগঠিত
       1        0   100.00   সংবাদ
       1        0   100.00   সকলেই
       2        0   100.00   সকাল
       1        0   100.00   সকালে
       1        0   100.00   সকালেই
       3        0   100.00   সঙ্গী
       1        0   100.00   সঙ্গীর
       4        0   100.00   সঙ্গে
       1        0   100.00   সন্দেহ
       1        0   100.00   সন্ধান
       2        0   100.00   সন্ধ্যা
       2        0   100.00   সন্ধ্যার
       4        0   100.00   সব
       2        0   100.00   সময়
       1        0   100.00   সমস্ত
       1        0   100.00   সম্পূর্ণ
       1        0   100.00   সম্মত
       1        1     0.00   সম্মতিসূচক
       1        0   100.00   সম্মুখে
       1        0   100.00   সামনে
       1        0   100.00   সামনেই
       1        0   100.00   সারা
       1        0   100.00   সাহস
       1        0   100.00   সিদ্ধ
       1        0   100.00   সুড়ঙ্গের
       1        0   100.00   সুদৃঢ়
       3        0   100.00   সুনন্দা
       1        0   100.00   সুনন্দাকে
       1        0   100.00   সুনন্দার
       1        0   100.00   সুরদাস
       2        0   100.00   সুরদাসের
       1        0   100.00   সুরের
       1        0   100.00   সুস্বাদু
       8        1    87.50   সে
       3        0   100.00   সেই
       1        1     0.00   সেও
       2        0   100.00   সেখানে
       1        0   100.00   সেটার
       2        0   100.00   সেদিন
       1        1     0.00   সেবার
       1        0   100.00   সৈন্যবল
       1        1     0.00   সৌন্দর্যলক্ষীকে
       2        0   100.00   স্থান
       1        0   100.00   স্বপ্নময়
       1        1     0.00   হ'ত
       3        1    66.67   হ'ল
       1        1     0.00   হ'লেও
       1        0   100.00   হচ্ছিল
       2        0   100.00   হচ্ছে
       1        0   100.00   হঠাৎ
       1        0   100.00   হবে
       1        1     0.00   হয়
       1        0   100.00   হয়তো
       4        1    75.00   হয়ে
       1        0   100.00   হয়েছিল
       1        0   100.00   হয়েছে
       2        0   100.00   হলেন
       1        0   100.00   হাঁ
       1        0   100.00   হাওয়ায়
       1        0   100.00   হাত
       2        0   100.00   হাতে
       2        0   100.00   হাতের
       1        0   100.00   হারিয়ে
       1        0   100.00   হাসিমুখে
       1        0   100.00   হৃদয়
       1        1     0.00   হেতুং
       1        1     0.00   হ’ল
